Region,Date,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Delhi,2019-08-31,7.61,15613271,44.89,Rural
Delhi,2019-09-30,7.91,15386620,43.03,Rural
Delhi,2019-10-31,7.59,15464135,46.71,Rural
Delhi,2019-11-30,10.03,15975442,43.57,Rural
Delhi,2019-12-31,6.22,15576352,49.05,Rural
Delhi,2020-01-31,10.1,15271110,40.44,Rural
Delhi,2020-02-29,6.41,15251615,42.74,Rural
Delhi,2020-03-31,16.95,13205089,43.17,Rural
Delhi,2020-04-30,25.82,11228228,37.65,Rural
Delhi,2020-05-31,27.87,10479751,44.6,Rural
Delhi,2020-06-30,17.6,13267099,40.54,Rural
Delhi,2019-05-31,9.93,19895913,46.59,Urban
Delhi,2019-06-30,10.95,19787261,46.63,Urban
Delhi,2019-07-31,8.96,19813289,42.36,Urban
Delhi,2019-08-31,7.8,19805338,44.42,Urban
Delhi,2019-09-30,9.96,19526446,44.34,Urban
Delhi,2019-10-31,11.39,19985972,46.76,Urban
Delhi,2019-11-30,8.4,19364876,48.48,Urban
Delhi,2019-12-31,11.6,19666659,49.93,Urban
Delhi,2020-01-31,10.1,19978321,41.66,Urban
Delhi,2020-02-29,11.8,20020983,44.32,Urban
Delhi,2020-03-31,28.66,13958679,37.56,Urban
Delhi,2020-04-30,26.16,15136839,36.72,Urban
Delhi,2020-05-31,22.6,16051142,41.36,Urban
Delhi,2020-06-30,24.84,15420354,42.42,Urban
Gujarat,2019-05-31,9.0,17296527,43.37,Rural
Gujarat,2019-06-30,4.48,17625031,49.73,Rural
Gujarat,2019-07-31,6.25,17668329,46.37,Rural
Gujarat,2019-08-31,7.08,17606735,47.67,Rural
Gujarat,2019-09-30,7.59,17646576,43.15,Rural
Gujarat,2019-10-31,9.12,17462920,39.29,Rural
Gujarat,2019-11-30,7.43,17899748,38.84,Rural
Gujarat,2019-12-31,6.97,17834455,39.28,Rural
Gujarat,2020-01-31,7.75,17553271,40.07,Rural
Gujarat,2020-02-29,8.19,17716498,39.04,Rural
Gujarat,2020-03-31,23.91,13533085,45.09,Rural
Gujarat,2020-04-30,21.64,13567536,44.97,Rural
Gujarat,2020-05-31,27.81,11773549,37.65,Rural
Gujarat,2020-06-30,26.4,12387058,37.76,Rural
Gujarat,2019-05-31,7.96,22259595,48.01,Urban
Gujarat,2019-06-30,8.87,22356966,39.97,Urban
Gujarat,2019-07-31,9.46,22433793,48.13,Urban
Gujarat,2019-08-31,9.47,22674067,43.06,Urban
Gujarat,2019-09-30,9.61,22707896,44.58,Urban
Gujarat,2019-10-31,8.74,22533548,48.06,Urban
Gujarat,2019-11-30,9.6,22295387,49.11,Urban
Gujarat,2019-12-31,7.09,22612516,46.72,Urban
Gujarat,2020-01-31,9.79,22651461,38.67,Urban
Gujarat,2020-02-29,10.31,22547594,39.89,Urban
Gujarat,2020-03-31,31.76,14738795,36.28,Urban
Gujarat,2020-04-30,25.01,17497812,43.46,Urban
Gujarat,2020-05-31,38.71,13207675,34.21,Urban
Gujarat,2020-06-30,33.31,14373307,43.36,Urban
Haryana,2019-05-31,4.87,10090545,48.97,Rural
Haryana,2019-06-30,5.11,10050348,46.68,Rural
Haryana,2019-07-31,6.93,10627972,43.85,Rural
Haryana,2019-08-31,7.14,10298535,38.09,Rural
Haryana,2019-09-30,3.81,10322500,46.33,Rural
Haryana,2019-10-31,5.15,10799762,46.48,Rural
Haryana,2019-11-30,7.97,10525509,45.6,Rural
Haryana,2019-12-31,6.42,10318487,40.95,Rural
Haryana,2020-01-31,5.6,10633976,39.72,Rural
Haryana,2020-02-29,6.26,10652935,48.52,Rural
Haryana,2020-03-31,26.55,6900402,36.78,Rural
Haryana,2020-04-30,14.95,8879153,38.15,Rural
Haryana,2020-05-31,21.4,8092908,40.6,Rural
Haryana,2020-06-30,22.96,7520055,36.97,Rural
Haryana,2019-05-31,9.14,13458357,44.06,Urban
Haryana,2019-06-30,6.37,13100435,41.16,Urban
Haryana,2019-07-31,7.71,13398445,42.16,Urban
Haryana,2019-08-31,7.29,13419291,40.23,Urban
Haryana,2019-09-30,6.21,13455346,47.87,Urban
Haryana,2019-10-31,6.26,13481056,43.52,Urban
Haryana,2019-11-30,8.47,13524350,44.32,Urban
Haryana,2019-12-31,6.52,13063793,46.34,Urban
Haryana,2020-01-31,9.44,13209279,46.21,Urban
Haryana,2020-02-29,6.41,13224893,46.17,Urban
Haryana,2020-03-31,26.01,9344198,35.77,Urban
Haryana,2020-04-30,27.65,9111795,43.04,Urban
Haryana,2020-05-31,38.31,7543618,34.94,Urban
Haryana,2020-06-30,21.31,10226970,40.01,Urban
Karnataka,2019-05-31,6.84,10464154,39.94,Rural
Karnataka,2019-06-30,5.99,10633233,41.96,Rural
Karnataka,2019-07-31,7.34,10237610,47.02,Rural
Karnataka,2019-08-31,7.52,10196193,40.21,Rural
Karnataka,2019-09-30,4.93,9984119,49.83,Rural
Karnataka,2019-10-31,5.56,10241999,45.7,Rural
Karnataka,2019-11-30,7.74,10372527,38.93,Rural
Karnataka,2019-12-31,6.32,10461980,48.23,Rural
Karnataka,2020-01-31,6.07,10259491,46.94,Rural
Karnataka,2020-02-29,5.05,10666144,45.66,Rural
Karnataka,2020-03-31,22.47,7484381,35.27,Rural
Karnataka,2020-04-30,27.69,7224497,43.62,Rural
Karnataka,2020-05-31,20.15,7776330,38.55,Rural
Karnataka,2020-06-30,24.87,7369380,42.6,Rural
Karnataka,2019-05-31,7.91,12762950,40.24,Urban
Karnataka,2019-06-30,9.15,12995772,43.08,Urban
Karnataka,2019-07-31,6.32,13107501,41.82,Urban
Karnataka,2019-08-31,9.05,13157306,49.12,Urban
Karnataka,2019-09-30,8.6,13232754,45.84,Urban
Karnataka,2019-10-31,8.36,12846060,46.22,Urban
Karnataka,2019-11-30,7.99,13106327,38.94,Urban
Karnataka,2019-12-31,9.87,13280579,45.78,Urban
Karnataka,2020-01-31,9.79,12945239,44.92,Urban
Karnataka,2020-02-29,8.7,13029758,45.45,Urban
Karnataka,2020-03-31,39.06,6925734,40.18,Urban
Karnataka,2020-04-30,24.63,10110482,34.98,Urban
Karnataka,2020-05-31,33.1,8556354,41.92,Urban
Karnataka,2020-06-30,26.36,9515020,42.06,Urban
Kerala,2019-05-31,6.91,13675107,44.45,Rural
Kerala,2019-06-30,5.02,13887292,49.09,Rural
Kerala,2019-07-31,4.25,13922147,45.47,Rural
Kerala,2019-08-31,8.74,14018632,49.11,Rural
Kerala,2019-09-30,6.32,13723806,46.79,Rural
Kerala,2019-10-31,7.37,13914881,45.88,Rural
Kerala,2019-11-30,7.9,14154079,39.98,Rural
Kerala,2019-12-31,6.37,14070271,38.26,Rural
Kerala,2020-01-31,6.97,14024083,45.89,Rural
Kerala,2020-02-29,6.42,13793511,42.06,Rural
Kerala,2020-03-31,27.98,9037497,34.79,Rural
Kerala,2020-04-30,18.01,11493395,40.98,Rural
Kerala,2020-05-31,20.92,10879513,46.77,Rural
Kerala,2020-06-30,20.92,10842735,41.98,Rural
Kerala,2019-05-31,6.34,17496495,38.81,Urban
Kerala,2019-06-30,8.13,17203810,40.99,Urban
Kerala,2019-07-31,8.96,17364482,48.59,Urban
Kerala,2019-08-31,5.89,17884217,48.15,Urban
Kerala,2019-09-30,10.82,17790927,47.08,Urban
Kerala,2019-10-31,9.26,17452554,41.2,Urban
Kerala,2019-11-30,6.54,17838013,47.55,Urban
Kerala,2019-12-31,8.45,17657991,40.08,Urban
Kerala,2020-01-31,8.95,17769346,48.46,Urban
Kerala,2020-02-29,11.39,17904924,41.53,Urban
Kerala,2020-03-31,37.86,10122933,38.09,Urban
Kerala,2020-04-30,37.93,9503762,33.11,Urban
Kerala,2020-05-31,39.16,10508652,37.61,Urban
Kerala,2020-06-30,20.93,14358997,40.88,Urban
Madhya Pradesh,2019-05-31,5.82,8634825,43.78,Rural
Madhya Pradesh,2019-06-30,5.31,8763871,43.94,Rural
Madhya Pradesh,2019-07-31,6.17,8846052,41.68,Rural
Madhya Pradesh,2019-08-31,8.2,8491545,42.81,Rural
Madhya Pradesh,2019-09-30,4.86,8511087,46.89,Rural
Madhya Pradesh,2019-10-31,4.88,8536778,41.45,Rural
Madhya Pradesh,2019-11-30,3.78,8622444,43.32,Rural
Madhya Pradesh,2019-12-31,5.83,8838069,48.81,Rural
Madhya Pradesh,2020-01-31,5.76,8679798,48.61,Rural
Madhya Pradesh,2020-02-29,4.05,8653975,47.35,Rural
Madhya Pradesh,2020-03-31,29.03,5571544,44.16,Rural
Madhya Pradesh,2020-04-30,29.71,5666424,44.49,Rural
Madhya Pradesh,2020-05-31,19.18,6897288,47.24,Rural
Madhya Pradesh,2020-06-30,29.75,6033614,38.3,Rural
Madhya Pradesh,2019-05-31,7.49,11003566,45.02,Urban
Madhya Pradesh,2019-06-30,5.46,10817674,40.07,Urban
Madhya Pradesh,2019-07-31,7.79,10840000,41.44,Urban
Madhya Pradesh,2019-08-31,8.19,10951975,39.12,Urban
Madhya Pradesh,2019-09-30,7.0,11162823,47.93,Urban
Madhya Pradesh,2019-10-31,7.78,11234794,38.63,Urban
Madhya Pradesh,2019-11-30,6.31,11444651,41.73,Urban
Madhya Pradesh,2019-12-31,9.64,11093037,42.68,Urban
Madhya Pradesh,2020-01-31,5.49,10957577,40.0,Urban
Madhya Pradesh,2020-02-29,7.46,11059103,39.18,Urban
Madhya Pradesh,2020-03-31,34.71,6887268,36.67,Urban
Madhya Pradesh,2020-04-30,26.2,7944957,44.57,Urban
Madhya Pradesh,2020-05-31,35.03,5976341,35.71,Urban
Madhya Pradesh,2020-06-30,34.45,6504572,42.24,Urban
Maharashtra,2019-05-31,6.55,8761308,46.82,Rural
Maharashtra,2019-06-30,6.68,8856920,48.9,Rural
Maharashtra,2019-07-31,6.65,9149523,49.51,Rural
Maharashtra,2019-08-31,4.95,8949876,48.81,Rural
Maharashtra,2019-09-30,4.95,9035594,45.48,Rural
Maharashtra,2019-10-31,4.34,9065390,48.99,Rural
Maharashtra,2019-11-30,6.31,9082565,41.38,Rural
Maharashtra,2019-12-31,6.54,9041769,43.82,Rural
Maharashtra,2020-01-31,5.17,9154751,41.18,Rural
Maharashtra,2020-02-29,6.37,9109164,47.84,Rural
Maharashtra,2020-03-31,29.0,5806899,36.17,Rural
Maharashtra,2020-04-30,24.26,6516033,35.76,Rural
Maharashtra,2020-05-31,18.72,6921407,41.94,Rural
Maharashtra,2020-06-30,25.39,6594041,45.29,Rural
Maharashtra,2019-05-31,6.21,11230480,42.97,Urban
Maharashtra,2019-06-30,8.6,11781793,43.07,Urban
Maharashtra,2019-07-31,6.91,11560641,41.05,Urban
Maharashtra,2019-08-31,7.4,11495690,40.27,Urban
Maharashtra,2019-09-30,9.21,11760451,43.86,Urban
Maharashtra,2019-10-31,5.1,11560096,49.51,Urban
Maharashtra,2019-11-30,7.22,11816781,45.05,Urban
Maharashtra,2019-12-31,8.26,11579335,45.29,Urban
Maharashtra,2020-01-31,7.97,11777461,39.02,Urban
Maharashtra,2020-02-29,8.64,11275967,48.99,Urban
Maharashtra,2020-03-31,35.09,6865359,40.43,Urban
Maharashtra,2020-04-30,40.02,6024083,39.68,Urban
Maharashtra,2020-05-31,31.58,6762337,36.38,Urban
Maharashtra,2020-06-30,34.44,6695571,34.87,Urban
Punjab,2019-05-31,3.18,16741854,45.86,Rural
Punjab,2019-06-30,5.38,16770811,46.24,Rural
Punjab,2019-07-31,3.45,17397136,42.52,Rural
Punjab,2019-08-31,6.37,16794059,38.71,Rural
Punjab,2019-09-30,5.16,16691267,46.51,Rural
Punjab,2019-10-31,2.33,16991528,40.71,Rural
Punjab,2019-11-30,2.2,16942941,46.87,Rural
Punjab,2019-12-31,5.17,17082409,45.55,Rural
Punjab,2020-01-31,4.4,17085307,41.38,Rural
Punjab,2020-02-29,3.82,16848465,45.41,Rural
Punjab,2020-03-31,24.54,11510884,42.12,Rural
Punjab,2020-04-30,26.26,11125540,34.71,Rural
Punjab,2020-05-31,23.81,12319000,38.7,Rural
Punjab,2020-06-30,28.72,10924468,39.13,Rural
Punjab,2019-05-31,6.95,21861005,38.62,Urban
Punjab,2019-06-30,6.87,21774679,49.06,Urban
Punjab,2019-07-31,6.11,21445552,44.28,Urban
Punjab,2019-08-31,7.1,21450985,47.59,Urban
Punjab,2019-09-30,7.42,21758186,48.22,Urban
Punjab,2019-10-31,6.68,21501545,43.73,Urban
Punjab,2019-11-30,5.71,21678442,45.38,Urban
Punjab,2019-12-31,5.44,21669005,40.58,Urban
Punjab,2020-01-31,2.7,21687300,49.63,Urban
Punjab,2020-02-29,5.95,21359729,44.71,Urban
Punjab,2020-03-31,21.67,16941132,40.14,Urban
Punjab,2020-04-30,37.34,11194898,35.18,Urban
Punjab,2020-05-31,29.85,14034643,44.16,Urban
Punjab,2020-06-30,22.04,16848723,38.56,Urban
Rajasthan,2019-05-31,5.36,17215567,46.41,Rural
Rajasthan,2019-06-30,4.5,17439513,49.5,Rural
Rajasthan,2019-07-31,4.18,17421312,41.85,Rural
Rajasthan,2019-08-31,5.46,17682491,44.97,Rural
Rajasthan,2019-09-30,4.78,17596662,42.78,Rural
Rajasthan,2019-10-31,3.62,17732287,49.28,Rural
Rajasthan,2019-11-30,4.85,17542969,40.71,Rural
Rajasthan,2019-12-31,5.06,17013008,40.38,Rural
Rajasthan,2020-01-31,5.87,17396132,42.82,Rural
Rajasthan,2020-02-29,4.36,17633176,39.23,Rural
Rajasthan,2020-03-31,20.34,13670362,35.16,Rural
Rajasthan,2020-04-30,26.02,11719732,39.01,Rural
Rajasthan,2020-05-31,16.26,13886901,41.87,Rural
Rajasthan,2020-06-30,16.25,14373640,46.99,Rural
Rajasthan,2019-05-31,5.84,22156714,41.53,Urban
Rajasthan,2019-06-30,3.56,22432477,46.92,Urban
Rajasthan,2019-07-31,6.57,22460895,43.88,Urban
Rajasthan,2019-08-31,4.97,21820697,43.26,Urban
Rajasthan,2019-09-30,8.88,22276749,43.45,Urban
Rajasthan,2019-10-31,5.71,22373342,48.16,Urban
Rajasthan,2019-11-30,5.88,22219566,47.31,Urban
Rajasthan,2019-12-31,5.92,22239537,48.87,Urban
Rajasthan,2020-01-31,6.3,22310461,46.88,Urban
Rajasthan,2020-02-29,6.79,22116760,41.77,Urban
Rajasthan,2020-03-31,20.44,17361901,35.72,Urban
Rajasthan,2020-04-30,37.12,11651511,43.58,Urban
Rajasthan,2020-05-31,38.83,12044490,41.83,Urban
Rajasthan,2020-06-30,33.09,13828594,34.45,Urban
Tamil Nadu,2019-05-31,8.75,9655711,44.68,Rural
Tamil Nadu,2019-06-30,9.3,9946861,38.07,Rural
Tamil Nadu,2019-07-31,7.58,9837433,44.63,Rural
Tamil Nadu,2019-08-31,9.67,9658911,43.03,Rural
Tamil Nadu,2019-09-30,5.04,9934712,41.37,Rural
Tamil Nadu,2019-10-31,8.4,10109976,39.19,Rural
Tamil Nadu,2019-11-30,7.38,9851580,38.82,Rural
Tamil Nadu,2019-12-31,9.1,9905726,49.37,Rural
Tamil Nadu,2020-01-31,7.74,10077604,46.24,Rural
Tamil Nadu,2020-02-29,9.08,9665757,41.47,Rural
Tamil Nadu,2020-03-31,28.06,7181030,38.46,Rural
Tamil Nadu,2020-04-30,22.61,8084963,40.04,Rural
Tamil Nadu,2020-05-31,29.88,6077869,37.78,Rural
Tamil Nadu,2020-06-30,33.5,5988353,39.47,Rural
Tamil Nadu,2019-05-31,9.57,12789930,46.56,Urban
Tamil Nadu,2019-06-30,9.0,12563475,40.13,Urban
Tamil Nadu,2019-07-31,7.94,12587365,47.76,Urban
Tamil Nadu,2019-08-31,12.64,12761103,41.39,Urban
Tamil Nadu,2019-09-30,9.79,12611707,42.07,Urban
Tamil Nadu,2019-10-31,12.35,12450120,42.66,Urban
Tamil Nadu,2019-11-30,8.76,12580247,42.73,Urban
Tamil Nadu,2019-12-31,8.92,12707313,47.07,Urban
Tamil Nadu,2020-01-31,10.4,12838427,41.71,Urban
Tamil Nadu,2020-02-29,10.95,12541148,47.71,Urban
Tamil Nadu,2020-03-31,30.83,8669933,38.06,Urban
Tamil Nadu,2020-04-30,39.93,6897151,34.09,Urban
Tamil Nadu,2020-05-31,41.79,6771358,40.03,Urban
Tamil Nadu,2020-06-30,41.71,6816264,35.26,Urban
Uttar Pradesh,2019-05-31,8.59,17642381,40.7,Rural
Uttar Pradesh,2019-06-30,4.92,17889107,49.18,Rural
Uttar Pradesh,2019-07-31,5.14,17957646,48.56,Rural
Uttar Pradesh,2019-08-31,5.04,17703203,48.56,Rural
Uttar Pradesh,2019-09-30,2.52,17967293,41.61,Rural
Uttar Pradesh,2019-10-31,4.8,17713519,43.42,Rural
Uttar Pradesh,2019-11-30,4.47,17816825,46.81,Rural
Uttar Pradesh,2019-12-31,5.18,17986837,39.56,Rural
Uttar Pradesh,2020-01-31,4.13,17741811,39.43,Rural
Uttar Pradesh,2020-02-29,5.11,18143962,40.76,Rural
Uttar Pradesh,2020-03-31,27.96,11622459,37.95,Rural
Uttar Pradesh,2020-04-30,22.65,12556912,38.1,Rural
Uttar Pradesh,2020-05-31,20.2,13929185,46.14,Rural
Uttar Pradesh,2020-06-30,24.98,13077463,37.53,Rural
Uttar Pradesh,2019-05-31,8.03,23317855,39.29,Urban
Uttar Pradesh,2019-06-30,6.95,22821001,44.81,Urban
Uttar Pradesh,2019-07-31,7.06,22679623,43.32,Urban
Uttar Pradesh,2019-08-31,6.84,22808678,48.12,Urban
Uttar Pradesh,2019-09-30,7.7,23046277,42.3,Urban
Uttar Pradesh,2019-10-31,9.41,22660642,42.52,Urban
Uttar Pradesh,2019-11-30,7.24,22695656,46.53,Urban
Uttar Pradesh,2019-12-31,5.93,22625224,48.79,Urban
Uttar Pradesh,2020-01-31,6.33,22724058,48.4,Urban
Uttar Pradesh,2020-02-29,6.36,22487362,44.78,Urban
Uttar Pradesh,2020-03-31,28.41,15033665,39.61,Urban
Uttar Pradesh,2020-04-30,22.23,17560216,36.68,Urban
Uttar Pradesh,2020-05-31,25.46,17024030,44.59,Urban
Uttar Pradesh,2020-06-30,23.2,17806892,37.8,Urban
West Bengal,2019-05-31,8.05,12981553,40.17,Rural
West Bengal,2019-06-30,7.7,13009042,44.72,Rural
West Bengal,2019-07-31,7.54,12851753,40.96,Rural
West Bengal,2019-08-31,8.47,13301307,38.19,Rural
West Bengal,2019-09-30,7.94,13122431,43.63,Rural
West Bengal,2019-10-31,8.15,12960416,45.66,Rural
West Bengal,2019-11-30,6.74,13280726,46.87,Rural
West Bengal,2019-12-31,6.99,12799853,44.44,Rural
West Bengal,2020-01-31,7.68,12649968,49.2,Rural
West Bengal,2020-02-29,9.08,12600096,46.24,Rural
West Bengal,2020-03-31,24.51,9423887,44.29,Rural
West Bengal,2020-04-30,22.64,10001251,39.45,Rural
West Bengal,2020-05-31,33.7,8101951,35.95,Rural
West Bengal,2020-06-30,19.94,10491412,38.86,Rural
West Bengal,2019-05-31,10.42,16727360,43.03,Urban
West Bengal,2019-06-30,9.94,16619553,45.12,Urban
West Bengal,2019-07-31,10.78,16873958,47.02,Urban
West Bengal,2019-08-31,9.63,17162948,43.44,Urban
West Bengal,2019-09-30,8.46,16484747,49.12,Urban
West Bengal,2019-10-31,11.18,16389535,40.83,Urban
West Bengal,2019-11-30,7.96,16759527,38.51,Urban
West Bengal,2019-12-31,7.1,16292164,43.29,Urban
West Bengal,2020-01-31,8.64,16587486,45.81,Urban
West Bengal,2020-02-29,9.57,16886789,43.58,Urban
West Bengal,2020-03-31,24.25,12713695,39.2,Urban
West Bengal,2020-04-30,34.21,11119890,39.86,Urban
West Bengal,2020-05-31,25.68,12135837,41.23,Urban
West Bengal,2020-06-30,32.12,11266099,41.77,Urban
